Id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,mainDirector,numVotes,mainDirectorBirthYear,mainDirectorDeathYear,MainDirectorPrimaryProfession,mainWriter,mainWriterBirthYear,mainWriterDeathYear,MainWriterPrimaryProfession,titleLength,genres,genderVoters,worldPromotion,Downloads,prefVotersCountry,firstShownCountry,Cash,averageRating
60,tvEpisode,Top of the Cops,Top of the Cops,0,2009,,,Sasha Ransome,7,,,"director,producer,editorial_department",Julian Dutton,,,"writer,actor",15,"['Comedy', 'Family', None]",3.0,0,-1,NR,GE,47527,7.9
61,movie,Parental Farm,Mazrae-ye pedari,0,2004,,90.0,Rasool Mollagholi Poor,59,1955.0,2007.0,"director,writer,producer",Rasool Mollagholi Poor,1955.0,2007.0,"director,writer,producer",16,"['Drama', 'War', None]",43.0,1,7541,JM,DO,8195,6.3
62,tvEpisode,The Sister,The Sister,0,1999,,30.0,Will Mackenzie,184,1938.0,,"director,actor",Philip Rosenthal,1960.0,,"writer,producer,actor",10,"['Comedy', None, None]",141.0,1,8161,NZ,AD,45479,7.4
63,tvEpisode,A Spy Is Born: Part 2,A Spy Is Born: Part 2,0,2004,,22.0,Stephane Berry,11,,,"director,art_director,miscellaneous",Michelle Lamoreaux,,,"writer,producer,miscellaneous",21,"['Action', 'Adventure', 'Animation']",2.0,1,4115,JP,MH,36132,7.9
64,short,Jack in the Box,Jack in the Box,0,2015,,19.0,Andrew Bury,9,,,"producer,writer,director",Andrew Bury,,,"producer,writer,director",15,"['Horror', 'Short', None]",7.0,1,2394,NP,SJ,12598,7.0
65,short,Of All the Luck,Of All the Luck,0,2003,,24.0,Gina Sabala,15,,,"director,actress,writer",Gina Sabala,,,"director,actress,writer",15,"['Comedy', 'Romance', 'Short']",13.0,0,1161,SV,LU,45880,7.3
66,movie,The Little Things,The Little Things,0,2010,,84.0,Neil McGregor,31,,,"director,producer,location_management",Jon Henricks,,,"writer,producer",17,"['Drama', None, None]",30.0,0,5982,FR,AT,50961,6.9
67,tvMovie,Queen Mania,Queen Mania,0,2005,,47.0,Stuart McDonald,12,,,"director,editorial_department,cinematographer",Richard Easter,,,"writer,miscellaneous,actor",11,"['Music', None, None]",6.0,1,-1,SS,DJ,37411,4.8
68,video,Posle vzryva 2,Posle vzryva 2,0,2016,,7.0,Maxim Gromov,19,,,"actor,director,producer",Maxim Gromov,,,"actor,director,producer",14,"['Drama', 'Short', None]",7.0,0,6064,TO,GI,58283,1.0
69,tvEpisode,Ragged,Ragged,0,2013,,,Johnny Vegas,19,1971.0,,"actor,producer,writer",Andy Lynch,,,writer,6,"['Drama', None, None]",6.0,1,7717,LA,CM,52814,7.3
70,tvEpisode,Episode #4.4,Episode #4.4,0,1980,,30.0,J.D. Lobue,32,,,"director,assistant_director,producer",Susan Harris,1940.0,,"writer,producer,actress",12,"['Comedy', 'Romance', None]",6.0,1,5660,MH,LS,7017,7.8
71,tvEpisode,Logopolis: Part Three,Logopolis: Part Three,0,1981,,25.0,Peter Grimwade,242,1942.0,1990.0,"miscellaneous,writer,director",Christopher H. Bidmead,1941.0,,"miscellaneous,writer,actor",21,"['Adventure', 'Drama', 'Family']",8.0,0,2083,BH,KZ,20711,7.8
72,movie,Mirame la palomita,Mirame la palomita,0,1985,,90.0,Enrique Carreras,87,1925.0,1995.0,"director,writer,producer",Enrique Carreras,1925.0,1995.0,"director,writer,producer",18,"['Comedy', None, None]",18.0,1,4821,BM,TL,7599,5.9
73,short,The Island,The Island,0,2000,,4.0,Kieran Darcy-Smith,33,1965.0,,"actor,director,writer",Kieran Darcy-Smith,1965.0,,"actor,director,writer",10,"['Short', None, None]",27.0,0,3881,CU,CO,29562,6.5
74,tvEpisode,Chapter Forty Three,Chapter Forty Three,0,2012,,,Justin Tanner,7,,,"writer,director,miscellaneous",Justin Tanner,,,"writer,director,miscellaneous",19,"['Comedy', None, None]",0.0,1,6637,KI,EC,45600,9.0
75,tvEpisode,A Young Man's Fancy,A Young Man's Fancy,0,1983,,,Alan Rafkin,12,1928.0,2001.0,"director,producer,actor",Allan Manings,1924.0,2010.0,"writer,producer,miscellaneous",19,"['Comedy', None, None]",4.0,1,3621,VU,KY,48617,7.1
76,short,Over the Fence,Viikko ennen vappua,0,2009,,30.0,Hamy Ramezan,35,,,"director,writer,actor",Ilmari Aho,1979.0,,"writer,miscellaneous,director",19,"['Drama', 'Short', None]",28.0,0,6008,NO,MV,26757,6.2
77,short,Ho! Terrible Exteriors,Ho! Khutz Nora,0,2006,,28.0,Lior Shamriz,17,1978.0,,"director,writer,producer",Lior Shamriz,1978.0,,"director,writer,producer",14,"['Drama', 'Short', None]",9.0,0,-1,HU,SG,17602,7.3
78,movie,Never,Hihat,0,2016,,106.0,Hadi Moghadamdoost,36,1971.0,,"writer,director",Hadi Naeeji,,,"director,writer",5,"['Drama', 'War', None]",13.0,1,6200,FJ,IM,12987,4.7
79,tvMovie,Damien Robbs,Damien Robbs,0,2014,,,Kurt Bickell,14,,,"director,producer",Tara Clark,,,"camera_department,writer,producer",12,"['Comedy', 'Drama', None]",14.0,1,2352,NE,IM,42714,7.9
80,short,Miles,Miles,0,2015,,7.0,Oliver Daly,62,,,"director,writer,animation_department",Oliver Daly,,,"director,writer,animation_department",5,"['Action', 'Adventure', 'Sci-Fi']",15.0,1,8207,IE,UA,56461,7.1
81,tvMiniSeries,Oorlogswinter,Oorlogswinter,0,1975,1975.0,325.0,Aart Staartjes,68,1938.0,,"actor,soundtrack,director",Wim Povel,1910.0,2001.0,"writer,actor",13,"['Drama', None, None]",59.0,1,-1,SK,PE,38717,6.6
82,tvEpisode,The Messenger,The Messenger,0,1996,,60.0,James Bruce,100,,,"producer,director,writer",Gregory Widen,,,"writer,producer,director",13,"['Action', 'Adventure', 'Fantasy']",57.0,0,8304,NZ,NE,58297,8.3
83,tvMovie,The Sleeping Beauty,La belle au bois dormant,0,2000,,149.0,Pierre Cavassilas,18,,,"director,writer",Charles Perrault,1628.0,1703.0,writer,24,"['Fantasy', 'Music', 'Romance']",2.0,0,8338,TK,BG,53868,7.5
84,tvEpisode,Flashing Before My Eyes,Flashing Before My Eyes,0,2016,,22.0,Tomohiko Itô,302,,,"director,assistant_director,art_department",Taku Kishimoto,,,writer,23,"['Animation', 'Drama', 'Fantasy']",234.0,1,-1,PS,CR,62104,8.6
85,movie,Bialo-czerwoni z Chrzastawy,Bialo-czerwoni z Chrzastawy,0,2015,,53.0,Krystian Kaminski,7,,,"director,writer",Krystian Kaminski,,,"director,writer",27,"['Documentary', None, None]",7.0,1,7107,MN,CG,2592,7.7
86,movie,Flickorna från Gamla sta'n,Flickorna från Gamla sta'n,0,1934,,96.0,Schamyl Bauman,12,1893.0,1966.0,"director,writer,producer",Schamyl Bauman,1893.0,1966.0,"director,writer,producer",26,"['Comedy', None, None]",3.0,1,4279,FO,SE,14507,6.0
87,tvEpisode,Episode #4.1,Episode #4.1,0,1982,,,Geoff Posner,5,1950.0,,"director,producer,production_manager",Colin Gilbert,1952.0,,"producer,director,miscellaneous",12,"['Comedy', None, None]",0.0,1,7018,WF,LB,56316,7.6
88,movie,Attila,Attila,0,1954,,80.0,Pietro Francisci,550,1906.0,1977.0,"director,writer,editor",Ennio De Concini,1923.0,2008.0,"writer,director,producer",6,"['Biography', 'Drama', 'History']",432.0,1,-1,MQ,SI,14399,5.5
89,tvEpisode,Hearts of Stone,Hearts of Stone,0,1983,,49.0,Jeffrey Hayden,162,1926.0,2016.0,"director,producer,writer",Glen A. Larson,1937.0,2014.0,"writer,producer,music_department",15,"['Action', 'Crime', 'Drama']",77.0,0,7456,PK,AQ,59748,6.7
90,movie,Love... And Other Bad Habits,Love... And Other Bad Habits,0,2013,,81.0,Thean-jeen Lee,6,,,"writer,director,producer",Thean-jeen Lee,,,"writer,director,producer",28,"['Romance', None, None]",1.0,1,1665,AS,AZ,21870,7.0
91,movie,HorrorCon,HorrorCon,0,2014,,120.0,Scott R. Norton,17,,,"director,writer,composer",Scott R. Norton,,,"director,writer,composer",9,"['Drama', 'Horror', 'Mystery']",8.0,0,816,DM,SN,59824,6.5
92,movie,Secret Agent of Japan,Secret Agent of Japan,0,1942,,72.0,Irving Pichel,47,1891.0,1954.0,"actor,director,producer",John Francis Larkin,1901.0,1965.0,"producer,writer,director",21,"['Mystery', 'Romance', 'Thriller']",44.0,0,2462,IM,TG,38558,6.9
93,tvEpisode,Where the Girls Are,Where the Girls Are,0,1984,,,Ron Satlof,28,1938.0,2018.0,"director,producer,assistant_director",Stephen J. Cannell,1941.0,2010.0,"writer,producer,actor",19,"['Action', 'Crime', 'Drama']",12.0,1,-1,DE,BL,43225,6.6
94,tvEpisode,I Shall Believe,I Shall Believe,0,2004,,44.0,Gregory Prange,253,,,"producer,director,editor",Mark Schwahn,1966.0,,"writer,producer,director",15,"['Drama', 'Romance', 'Sport']",156.0,0,2560,EE,BT,16147,8.7
95,tvEpisode,Resolution,Resolution,0,2012,,57.0,Timothy Van Patten,1395,1959.0,,"director,actor,producer",Terence Winter,1960.0,,"producer,writer,actor",10,"['Crime', 'Drama', 'History']",504.0,1,4789,YE,SR,62060,8.5
96,movie,Hemlock,Shokaran,0,1999,,98.0,Behruz Afkhami,514,1956.0,,"director,writer,editor",Behruz Afkhami,1956.0,,"director,writer,editor",8,"['Drama', None, None]",92.0,0,2603,GE,FK,4330,6.8
97,tvEpisode,The Harvest of the Seasons,The Harvest of the Seasons,0,1973,,,David Kennard,35,,,"director,producer,writer",Jacob Bronowski,1908.0,1974.0,"writer,producer,director",26,"['Documentary', None, None]",15.0,0,1964,GN,GH,46316,8.0
98,tvEpisode,Ahmir 'Questlove' Thompson,Ahmir 'Questlove' Thompson,0,2013,,22.0,Chuck O'Neil,19,,,director,Rory Albanese,1977.0,,"producer,writer,actor",26,"['Comedy', 'News', 'Talk-Show']",9.0,1,2101,BZ,ME,12400,7.5
99,short,When Mary Grew Up,When Mary Grew Up,0,1913,,,James Young,5,1872.0,1948.0,"director,actor,writer",George D. Baker,1868.0,1933.0,"director,writer,miscellaneous",17,"['Comedy', 'Romance', 'Short']",4.0,0,4518,PR,UM,11285,4.7
100,movie,Chhotto Jignasa,Chhotto Jignasa,0,1968,,138.0,Jagannath Chatterjee,5,,,director,Tapash Bose,,,writer,15,"[nan, None, None]",0.0,1,2125,EC,NI,33990,3.8
101,tvEpisode,Charlie and the Pajama Intervention,Charlie and the Pajama Intervention,0,2014,,22.0,Bob Koherr,113,,,"director,actor,producer",Bruce Helford,1952.0,,"writer,producer,miscellaneous",35,"['Comedy', 'Romance', None]",22.0,1,608,CI,UY,30383,7.0
102,tvEpisode,School Scam,School Scam,0,2007,,23.0,Magnús Scheving,18,1964.0,,"actor,writer,producer",Magnús Scheving,1964.0,,"actor,writer,producer",11,"['Adventure', 'Comedy', 'Family']",15.0,1,1289,SI,SH,30290,5.5
103,tvEpisode,Valentine's Day Massacre,Valentine's Day Massacre,0,2007,,44.0,Michael Schultz,92,1938.0,,"director,producer,music_department",Jon Robin Baitz,1961.0,,"writer,producer,actor",24,"['Drama', None, None]",86.0,0,7342,KE,RU,26178,8.0
104,tvEpisode,Who's a Pretty Mammy?,Who's a Pretty Mammy?,0,2013,,37.0,Ben Kellett,54,,,"director,producer,assistant_director",Paul Mayhew-Archer,1953.0,,"miscellaneous,writer,producer",21,"['Comedy', None, None]",28.0,1,-1,TD,AD,36086,8.2
105,short,Ragdoll Runners,Ragdoll Runners,0,2016,,14.0,Mark Edward Fischbach,13,1989.0,,"actor,producer,director",Mark Edward Fischbach,1989.0,,"actor,producer,director",15,"['Comedy', 'Short', None]",13.0,0,9199,BV,LT,27576,6.6
106,tvEpisode,Fallout,Fallout,0,2013,,55.0,Lesli Linka Glatter,546,,,"director,producer,miscellaneous",Michelle Ashford,,,"writer,producer,miscellaneous",7,"['Drama', 'Romance', None]",425.0,0,5077,CN,RO,9454,8.2
107,tvEpisode,Uncle Buckle-Up,Uncle Buckle-Up,0,1985,,47.0,Michael O'Herlihy,121,1928.0,1997.0,"director,producer,writer",Frank Lupo,,,"writer,producer,miscellaneous",15,"['Action', 'Adventure', 'Crime']",91.0,0,8041,CW,BH,49836,6.7
108,movie,August Winds,Ventos de Agosto,0,2014,,77.0,Gabriel Mascaro,392,,,"writer,director,cinematographer",Gabriel Mascaro,,,"writer,director,cinematographer",16,"['Drama', None, None]",156.0,1,2801,FI,GY,28973,6.2
109,tvSeries,L'esprit de famille,L'esprit de famille,0,1982,,52.0,Roland Bernard,5,,,"cinematographer,camera_department,director",Janine Boissard,,,writer,19,"[nan, None, None]",3.0,1,7988,JO,PT,49244,7.8
