,Unnamed: 0,title,text
10,10,Erwin Schrödinger Prize,"The Erwin Schrödinger Prize (German: Erwin Schrödinger-Preis) is an annual award presented by the Austrian Academy of Sciences for lifetime achievement by Austrians in the fields of mathematics and natural sciences. The prize was established in 1958, and was first awarded to its namesake, Erwin Schrödinger. Prize criteria and endowment The prize is awarded at the discretion of the Austrian Academy of Sciences to scholars resident in Austria for excellence and achievements in the mathematical and scientific disciplines in the broadest sense. The prize is not awarded to full members of the Academy. The award ceremony is held annually in October. The prize includes an annual stipend currently of € 15 000, paid monthly. Prize winners 1956 Erwin Schrödinger 1958 Felix Machatschki 1960 Erich Schmid 1962 Marietta Blau 1963 Ludwig Flamm and Karl Przibram 1964 Otto Kratky 1965 Fritz Wessely 1966 Georg Stetter 1967 Berta Karlik and Gustav Ortner 1968 Hans Nowotny 1969 Walter Thirring 1970 Erika Cremer 1971 Richard Biebl 1972 Fritz Regler and Paul Urban 1973 Hans Tuppy 1974 Otto Hittmair and Peter Weinzierl 1975 Richard Kiefer and Erwin Plöckinger 1976 Herbert W. König and Ferdinand Steinhauser 1977 Viktor Gutmann and Helmut Rauch 1978 Edmund Hlawka and Günther Porod 1979 Heinz Parkus 1980 Peter Klaudy and Hans List 1981 Kurt Komarek 1982 Othmar Preining 1983 Josef Schurz and Peter Schuster 1984 Leopold Schmetterer and Josef Zemann 1985 Adolf Neckel and Karl Schlögl 1986 Walter Majerotto and Horst Wahl 1987 Edwin Franz Hengge and Franz Seitelberger 1988 Wolfgang Kummer and Fritz Paschke 1989 Johannes Pötzl 1990 Manfred W. Breiter and Karl Kordesch 1991 Siegfried J. Bauer and Willibald Riedler 1992 Josef F. K. Huber and Karlheinz Seeger 1993 Benno F. Lux and Oskar F. Olaj 1994 Tilmann Märk and Heide Narnhofer 1995 Heinz Gamsjäger and Jürgen Hafner 1996 Alfred Kluwick 1997 Werner Lindinger and Thomas Schönfeld 1998 Peter Zoller 1999 Johann Mulzer 2000 Erich Gornik and Hans Troger 2001 Bernhard Kräutler and Siegfried Selberherr 2002 Ekkehart Tillmanns 2003 Erwin S. Hochmair and Hildegunde Piza 2004 Anton Stütz and Jakob Yngvason 2005 Franz Dieter Fischer and Rainer Kotz 2006 Rainer Blatt 2007 Georg Brasseur and Thomas Jenuwein 2008 Georg Wick 2009 Bernd Mayer 2010 Walter Kutschera 2011 Gerhard A. Holzapfel 2012 Jürgen Knoblich 2013 Nick Barton 2014 Denise P. Barlow 2015 und Jiří Friml 2016 Ortrun Mittelsten Scheid and Jürgen Sandkühler 2017 Francesca Ferlaino 2018 Elly Tanaka and Peter Jonas See also Schrödinger Medal References Category:Austrian science and technology awards"
11,11,Aerocar (disambiguation),"Aero Car or Aerocar may refer to: Automobiles Aerocar (1905 automobile), an American automobile built from 1905 to 1908 Aero Car (1919 automobile), a British 5/7 hp (533 W) flat twin-engine cyclecar manufactured from 1919 to 1920 Aero Car (1921 automobile), a planned American automobile Flying cars Aerocar (1949–1956), several working ""flying cars"" (roadable aircraft) Wagner Aerocar, a roadable helicopter completed in 1965 Aerocar 2000, a roadable aircraft currently in development in the US Light aircraft Portsmouth Aerocar, a British light utility aircraft design of the late 1940s Companies Aerocar International, the company that built the Aerocar as well as: Aerocar Aero-Plane, an unusual light aircraft flown in the US in 1964 Aerocar Coot, a two-seat amphibious aircraft first flown in 1969, designed for homebuilding by Moulton Taylor Aerocar Micro-IMP, a light sportsplane developed from the successful Mini-IMP homebuilt in 1978 Niagara Aero Car Company, which built the Whirlpool Aero Car, an attraction at Niagara Falls, in 1913 See also Flying car (disambiguation) Skycar (disambiguation) John Emery Harriman, designer"
12,12,Papakura Local Board,"The Papakura Local Board is one of the 21 local boards of the Auckland Council. It is overseen by the Manurewa-Papakura Ward councillor. The local board area extends between Alfriston and Drury, and includes Takanini, Hingaia, Red Hill, Pahurehure and the Papakura town centre. 2019–2022 term The current members of the board, elected at the 2019 local body elections, are: Keven Mealamu, Papakura First – (6079 votes) Brent Catchpole, Papakura Action Team – (5247 votes) George Hawkins, Papakura Action Team – (4549 votes) Jan Robinson, Papakura Action Team – (4030 votes) Felicity Auva'a, Papakura First – (3699 votes) Sue Smurthwaite, Papakura Action Team – (3666 votes) 2016–2019 term The board members who served from the 2016 local body elections to the 2019 elections were: Brent Catchpole (Chair) Felicity Auva'a (Deputy chair) George Hawkins Bill McEntee Michael Turner Katrina Winn References Category:Local boards of the Auckland Region"
13,13,Unknown Sender,"UNKNOWN SENDER is an internet television series created in the United States, which debuted in August 2008 on Strike.TV, a website created by Hollywood writers during the 2007–2008 Writers Guild of America strike. Like the other Strike.TV offerings which were sanctioned by the Writers' sister union, the Screen Actors Guild (SAG), UNKNOWN SENDER was able to attract major talent to its cast, all of whom agreed to donate profits to the Hollywood charity, Actors' Fund. Among the actors in the series are Timothy Dalton, Joanne Whalley, Mindy Sterling (Austin Powers' ""Frau Farbissina""), comedian Jay Davis (Dane Cook's Tourgasm), and Stan Freberg. Behind the camera, noteworthy figures include Academy Award nominee Marilyn Vance and pioneer web filmmaker Kevin Rubio (Troops) among the producers; as well as Lost Director of Photography Edward J. Pei, film composer Adam Cohen (The Incredibles); and Special Effects Supervisor Shant Jordan (Hellboy II). Series Premise The five- to ten-minute-long UNKNOWN SENDER episodes consist of suspense or sci-fi stories which share the conceit that they are actual events, captured by closed circuit television (CCTV), surveillance monitors, amateur videographers, and the like, all collected and posted on the web by a mysterious, unseen ""Unknown Sender"". Influences The creator of the show, Die Hard screenwriter Steven E. de Souza, described the series as ""a cross between The Twilight Zone and Alfred Hitchcock Presents"". De Souza, a writer and director on HBO's similarly themed Tales From the Crypt, said another influence was the legendary 1947–1949 Mutual (and later, ABC) network radio horror series, Quiet, Please. Considered by many to be the best example of Golden Age Radio, and a direct precursor of The Twilight Zone, Quiet, Please often dramatized its episodes as if the members of the listening audience were themselves participants or inadvertent observers, eavesdropping on the story’s action. The first episode of UNKNOWN SENDER (1.1 If You’re Seeing this tape…) acknowledges the Quiet, Please connection via its opening music, Symphony in D minor by César Franck, the same piece used as the theme for every episode of Quiet, Please. Critical Reaction Unknown Sender has been well received by the public and the press alike, having garnered positive reviews from such outlets as TV Guide, The McClatchy Company, and tilzy.tv. USA Today in particular hailed the series's ""clever premise"". Episode Guide, Seasons One and Two (through June 2011) 1.1. If You’re Seeing This Tape… – A philanthropist engaged in a bitter divorce prepares a video will. Stars Timothy Dalton, Joanne Whalley, and Stan Freberg as ""Mostly Mozart"" DJ. Tagline: ""Where there’s a will, there’s a widow."" Aired 28 October 2008. 1.2. Beta Test – An overworked and underpaid American IT engineer discovers he is being cheated by a European cartel. Stars Xander Cardinale, Viola Sator, Molly Kohler-Pei, and Michael Butler Murray, with Brian Rodda and Drea Hoffman. Tagline: “It’s not a bug, it’s a feature.” Aired 7 November 2008. 1.3. Slippery Slope – Two sexy actresses appearing in ""Hardwood Pictures'"" latest production have a hidden agenda. Stars Ashley Shultz and Amy Main. Tagline: ""She’s the man, baby."" Aired 11 November 2008. 1.4."
14,14,KEXX,"KEXX may refer to: Davidson County Airport (ICAO code KEXX) KZON, a radio station (103.9 FM) licensed to serve Gilbert, Arizona, United States, which held the call sign KEXX from 2010 to 2016 KEXX, a REXX dialect included with KEDIT"
15,15,Deven Mitchell,"Deven Anthony Mitchell (born October 22, 1984) is an American basketball player for Dinamo București. Mitchell played three seasons collegiate for the Missouri State and played four seasons for CS Gaz Metan Mediaş in Romania. Honours Austrian League MVP (1): 2009 Romanian Cup (2): 2011, 2013 References Category:1984 births Category:Living people Category:American expatriate basketball people in Austria Category:American expatriate basketball people in France Category:American expatriate basketball people in Romania Category:American men's basketball players Category:Basketball players from Missouri Category:Missouri State Bears basketball players Category:Small forwards Category:Sportspeople from St. Louis"
16,16,Masanori Katsumoto,Masanori Katsumoto (born 18 September 1933) is a Japanese equestrian. He competed in two events at the 1964 Summer Olympics. References Category:1933 births Category:Living people Category:Japanese male equestrians Category:Olympic equestrians of Japan Category:Equestrians at the 1964 Summer Olympics Category:Place of birth missing (living people)
17,17,List of best-selling albums of the 2010s in the United Kingdom,"The UK Albums Chart is a music chart compiled by the Official Charts Company (OCC) that calculates the best-selling artist albums of the week in the United Kingdom. Since 2005, the chart has been based on the sales of both physical and digital albums, on the condition that the album was available in both formats. In January 2007, the rules were changed so that legal downloads of all albums, irrespective of whether a physical copy was available, were eligible to chart. Further changes occurred in February 2015 when audio streaming was included for the first time. On 11 December 2019, the OCC announced their list of the top 100 best-selling albums between January 2010 and December 2019. The best-selling album of the decade is Adele's 21, which sold over 5.17 million following its release in January 2011. Adele is also one of two artists to achieve three million-selling albums since 2010 with 19 (released in 2008 but sold over a million copies since 2010), 21 and 25. The other is Ed Sheeran with +, x and ÷. Sheeran is also the only artist to feature in the top 10 three times. Best-selling albums since 2010 Released before 2010; only sales from 2010 onwards included Best-selling debut albums See also List of best-selling albums of the 21st century in the United Kingdom List of best-selling singles of the 2010s in the United Kingdom Notes References 2000s United Kingdom 2000s (UK) Category:British record charts"
18,18,John Rothwell (hurler),"John Rothwell (born 1951 in Blackrock, County Cork) is an Irish former sportsperson. He played hurling with his local club Blackrock and was a member of the Cork minor, under-21 and senior inter-county teams in the late 1960s and early 1970s. References Category:1951 births Category:Living people Category:Blackrock hurlers Category:Cork inter-county hurlers"
19,19,Herpetogramma elongalis,Herpetogramma elongalis is a moth in the family Crambidae. It was described by Warren in 1892. It is found in Taiwan. References Category:Moths described in 1892 Category:Herpetogramma Category:Moths of Taiwan
20,20,Jimmy McEwan,"James McEwan (22 March 1929 – 28 November 2017) was a Scottish professional footballer, who usually played at right wing. He played for Arbroath and Raith Rovers in Scotland before settling in the West Midlands in England playing for Aston Villa and Walsall. Arbroath McEwan started his career with East Craigie in the Scottish Junior Football Association set up in his birth town of Dundee. From there he joined the senior ranks signing for Arbroath in the second tier of the Scottish Football League. At Arbroath he hit what the club's history suggests is the fastest ever goal at their Gayfield stadium, scoring after 10 seconds against Dumbarton on 6 January 1951. He was managed by Arch Anderson and then Alec Cheyne. Raith Rovers In 1951 he moved up a division to join Raith Rovers in the Scottish top flight, a division they stayed in for all of that decade. McEwan and Raith ended their first season together with a fifth-place finish in the league. Raith reached the 1955-56 Scottish Cup semi final. They were eliminated in a replay by Heart of Midlothian who with Dave Mackay went on to beat Celtic in the final. In December of the same year Raith had their decade's most eye-catching single result when they beat Rangers 5–1 in Kirkcaldy. Raith appeared genuine title contenders for part of that season before finishing fourth, their best in McEwan's eight season at the club and their best since 1922. Their league form of that season was matched by a run to the 1956–57 Scottish Cup semi final. Again they were eliminated in a replay by the team who won the trophy, in this case the Falkirk team of Alex Parker. He was top scorer at Raith for three seasons from 1956-59. At different times McEwan played alongside Raith Hall of Famers Willie McNaught, Willie Penman, Willie Polland, Johnny Urquhart and Andy Young. When at Raith, he was selected to play for a Scottish Football League XI against a Scotland XI at Ibrox on 16 March 1959 in a trial match prior to Scotland playing against England at Wembley in the 1958–59 British Home Championship. The league side won 6–5, with McEwan providing a cross for the first of three goals by John White. McEwan was never selected for the full international side, or for the SFL team in an inter-league fixture. He left Raith at the end of that season. Aston Villa Aston Villa bought him in 1959. McEwan helped Villa win the Football League Division Two championship in his first season for promotion to England's top flight. Les Smith's achilles injury ultimately led to his retirement in 1960 opening a place on the team sheet at right wing. Given his chance, McEwan was an important player in attack at Villa teaming up well with Vic Crowe and Bobby Thomson. In one game Villa beat Charlton Athletic 11-1 at Villa Park in November 1959 with all five Villa forwards scoring including five by Gerry Hitchens. That same season Villa reached the 1959-60 FA Cup semi-final. In an all-West"
21,21,Mattenbach,"Mattenbach is a district in the Swiss city of Winterthur. It is district number 7. The district comprises the quarters Deutweg, Gutschick and Endliker. References Category:Winterthur"
22,22,Alexander Wilson (British Army officer),"Major-General Sir Alexander Andrew Wilson KCB (29 October 1858 – 7 July 1937) was a senior British Army officer, Colonel of the Argyll and Sutherland Highlanders and Lieutenant Governor of Jersey between the years 1916 and 1920. Military career Educated at Lancing College, Wilson was gazetted into the Argyll and Sutherland Highlanders in 1879 and served with the regiment through the Anglo-Zulu War of 1879 before being appointed Commandant of Colonial Forces, Western Australia in 1895. Wilson returned from Australia to fight with his regiment during the Second Boer War and was appointed commander of the 1st Battalion after the Battle of Magersfontein in 1899. He served under Sir John Maxwell in the Sinai and Palestine Campaign (World War I) as General Officer Commanding Indian Expeditionary Force E, Canal Defences and was mentioned in dispatches whilst commanding the Suez Canal defences against the Turkish attack through 1915–1916. He was also appointed KCB at around this time. In later life he became Colonel of the Regiment (Argyll and Sutherland Highlanders) and was made Lieutenant Governor of Jersey. He married Jane Leith-Hay Graham, daughter of Robert Graham, 14th of Fintry. Their son Alexander Robert Graham Wilson was commander of the 1st Battalion, Argyll and Sutherland Highlanders. References Category:1858 births Category:1937 deaths Category:British Army personnel of the Anglo-Zulu War Category:British Army personnel of the Second Boer War Category:British Army generals of World War I Category:Knights Commander of the Order of the Bath Category:Argyll and Sutherland Highlanders officers Category:People educated at Lancing College Category:Governors of Jersey Category:British Army generals"
23,23,Ghyaru,"Ghyaru is a village development committee in Manang District in the Gandaki Zone of northern Nepal. At the time of the 2011 Nepal census it had a population of 71 people living in 33 individual households. References Category:Populated places in Manang District, Nepal"
24,24,Roberto Donadoni,"Roberto Donadoni (; born 9 September 1963) is an Italian football manager and former midfielder, who is the current head coach of Chinese club Shenzhen F.C.. A complete, versatile and hard-working winger, known for his pace, stamina, offensive capabilities, distribution and technical skills, Donadoni was capable of playing on either flank, or even in the centre. Donadoni began his career with Atalanta, and he later became a pillar of the powerhouse Milan team of the late 1980s and early '90s, achieving notable domestic and international success during his time with the club. In his later career, he was also one of the pioneers of Major League Soccer, where he played two seasons for the NY/NJ MetroStars, ending his career with Saudi Premier League side Ittihad in 2000. At international level, Donadoni was also an important member of the Italy national team throughout the late 1980s and early '90s. He represented his country at the 1988 and 1996 European Championships, and at the 1990 and 1994 FIFA World Cups. With Italy, he reached the semi-finals of Euro 1988, and won bronze and silver medals at the 1990 and 1994 World Cups respectively. Following his playing career, Donadoni began a career as a manager in 2001, which included spells with Italian clubs Lecco, Livorno and Genoa. He was later appointed head coach of the Italy national team, succeeding Marcello Lippi, who resigned after having won the 2006 World Cup. At Euro 2008, with Donadoni as coach, Italy reached the quarter-finals of the tournament, losing to eventual champions Spain on penalties. On 26 June 2008, Donadoni was dismissed despite having signed a contract extension prior to the beginning of Euro 2008, using a clause in the contract which allowed termination if Italy did not reach the semi-final. He was replaced by Lippi, who returned as national team manager. Following his position as Italy head coach, Donadoni managed Napoli, Cagliari and Parma, until the latter club's bankruptcy in 2015. He then joined Bologna the following season. Club career Atalanta and Milan Donadoni started his career with Atalanta in 1982, winning the Serie C1 title, and the Serie B title in 1984. He joined Milan in 1986 and he became a mainstay in the legendary team that dominated Italy and Europe in the late 1980s and early-to-mid-1990s. Usually playing a right-sided wide midfield role, Donadoni was a vital part of Milan's squad under both Arrigo Sacchi and Fabio Capello, winning six Serie A titles, three European Cups, four Supercoppa Italiana, three European Super Cups, and two Intercontinental Cups during his time at Milan. Although Donadoni failed to win the Coppa Italia with Milan, he reached the final twice, during the 1989–90 and 1997–98 seasons. Donadoni came close to being one of a handful of players to ever die on-field, during the 1989–90 European Cup campaign in a match against Red Star Belgrade. He had his life saved only through the quick-thinking of Red Star's physiotherapist, who broke his jaw to make a passage for oxygen to reach his lungs after he had suffered a bad foul and"
25,25,Forever Breathes the Lonely Word,"Forever Breathes the Lonely Word is the sixth album by English alternative rock band Felt, released in September 1986. This is the first Felt album with no instrumental tracks. The cover photo subject is keyboardist Martin Duffy. The record features Duffy's organ alongside two guitars, one sometimes played by Lawrence. The organ is foregrounded in the mix and creates a vastly new sound for the band. In a 2011 NME feature, Hamish MacBain said of the album that ""Lawrence delivered his masterpiece,"" and described it as ""the first truly classic Creation album."" Track listing All songs written by Lawrence. Personnel Felt Lawrence – vocals, electric guitar Martin Duffy – hammond organ, piano, backing vocals Marco Thomas – bass guitar, guitar Gary Ainge – drums Additional personnel Tony Willé – acoustic and electric guitars, backing vocals Sarah & Yvonne – backing vocals John A. Rivers – production, backing vocals References Category:Felt (band) albums Category:1986 albums Category:Creation Records albums Category:Albums produced by John A. Rivers Category:Albums recorded at Woodbine Street Studios"
26,26,Tellam Balaraju,Tellam Balaraju is an MLA of Polavaram Assembly Constituency in West Godavari district of Andhra Pradesh. Balaraju was first elected as an MLA from Polavaram during 2004 and later in 2009 elections and 2012 bipolls. Then he lost to Modiyam Srinivas of Telugu Desam Party in 2014. He was again elected as a Member of Legislative Assembly in 2019 on behalf of YSR Congress Party. References Category:Year of birth missing (living people) Category:Living people Category:Place of birth missing (living people) Category:Political office-holders in Andhra Pradesh
27,27,The Eye of the Sibyl,"""The Eye of the Sibyl"" is a science fiction short story by American writer Philip K. Dick. It was written sometime around 1975, but not published until 1987 when it was included in volume 5 (subtitled ""The Little Black Box"") of The Collected Stories of Philip K. Dick, and has been reprinted since in other editions of this book such as the U.S. edition The Eye of the Sibyl and Other Stories . This is said to have been Dick's first piece of fiction for publication after his ""2-3-74"" experience that was the basis for his Exegesis, and later the novels VALIS, the posthumously published precursor to VALIS, Radio Free Albemuth, and The Divine Invasion. Eventually rejected by the venue for which it was written, the major points of Dick's 1975 worldview are set forth, in a style reminiscent of his earlier work, and very similar to his treatment of this material in his later books. External links Eye of the Sybil at Internet Speculative Fiction Database Category:1987 short stories Category:Short stories by Philip K. Dick"
